regcode;sepa;name;name_before_quotes;name_in_quotes;name_after_quotes;without_quotes;regtype;regtype_text;type;type_text;registered;terminated;closed;address;index;addressid;region;city;atvk;reregistration_term
40003456226;;"SIA ""ETA M""";SIA;ETA M;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1999-08-17;2013-12-16;R;Rīga, Krišjāņa Valdemāra iela 149-101;1013;117850297;0;100003003;0010000;
40103581998;LV98ZZZ40103581998;"Sabiedrība ar ierobežotu atbildību ""e-stamp""";Sabiedrība ar ierobežotu atbildību;e-stamp;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2012-08-31;2015-12-03;L;Rīga, Silmaču iela 4;1012;104589833;0;100003003;0010000;
40103621542;LV89ZZZ40103621542;"Sabiedrība ar ierobežotu atbildību ""Concorde & Co""";Sabiedrība ar ierobežotu atbildību;Concorde & Co;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2013-01-03;2017-05-17;L;Rīga, Kastrānes iela 2A - 19;1039;113077218;0;100003003;0010000;
40003588858;LV07ZZZ40003588858;"SIA ""MĀRKETINGA KOMPĀNIJA""";SIA;MĀRKETINGA KOMPĀNIJA;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2002-04-23;2017-05-17;L;Rīga, Dzelzavas iela 70;1082;101826888;0;100003003;0010000;
40103702557;LV34ZZZ40103702557;"Sabiedrība ar ierobežotu atbildību ""AERR""";Sabiedrība ar ierobežotu atbildību;AERR;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2013-08-21;2017-05-17;L;Daugavpils, Balvu iela 3 - 17;5401;110311966;0;100003011;0050000;
51502032681;"";"IK ""Fabertech""";IK;Fabertech;"";0;K;Komercreģistrs;IK;Individuālais komersants;2011-02-04;2012-07-18;L;Daugavpils, Tartu iela 10-61;5422;116145257;0;100003011;0050000;
41502032711;"";"IK ""PK AUTO TOOLS""";IK;PK AUTO TOOLS;"";0;K;Komercreģistrs;IK;Individuālais komersants;2011-02-15;2012-04-17;L;Daugavpils, Cialkovska iela 15-46;5410;116690015;0;100003011;0050000;
40003734081;LV17ZZZ40003734081;"Sabiedrība ar ierobežotu atbildību ""A1P""";Sabiedrība ar ierobežotu atbildību;A1P;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2005-03-18;2017-06-28;L;Rīga, Paula Lejiņa iela 14 - 4;1029;114061513;0;100003003;0010000;
48502008291;LV26ZZZ48502008291;"IK ""KITIJA ĀBOMA""";IK;KITIJA ĀBOMA;"";0;K;Komercreģistrs;IK;Individuālais komersants;2004-09-06;; ;Dobeles nov., Dobele, Krišjāņa Valdemāra iela 2 - 17;3701;115548753;100015813;100003198;0460100;
40008241916;LV95ZZZ40008241916;"""Ievkalni""";"";Ievkalni;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2015-09-01;; ;"Saldus nov., Ezeres pag., ""Ievkalni"" - 7";3896;116851568;100016204;0;0840248;
40003615982;LV09ZZZ40003615982;"Sabiedrība ar ierobežotu atbildību ""BriteSmile Baltic""";Sabiedrība ar ierobežotu atbildību;BriteSmile Baltic;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2003-01-17;2017-05-17;L;Rīga, Elizabetes iela 25 - 1;1010;112735804;0;100003003;0010000;
